,Player_ID,First_Name,Last_Name,Full_Name,Matches,Innings,Runs,Balls_Faced,Highest_Score,Batting_Average,Strike_Rate,Fifties,Hundreds,Fours,Sixes,Not_Outs,Catches,Stumpings,Overs,Runs_Conceded,Wickets,Bowling_Average,Economy,Bowling_Strike_Rate,Best_Bowling,4_Wickets,5_Wickets
0,10059,Kartik,Tyagi,Kartik Tyagi,20,7,13,16,7,3.25,81.25,0,0,1,0,3,3,0,52.20,491,13,37.77,9.41,24.08,2/29,0,0
1,20585,Mayank,Yadav,Mayank Yadav,8,0,,,,,,0,0,,,0,5,,28.20,285,11,25.91,10.12,15.36,3/14,0,0
2,4952,Mohsin,Khan,Mohsin Khan,24,5,25,24,13*,8.33,104.17,0,0,2,1,2,2,,81.00,689,27,25.52,8.51,18.00,4/16,1,0
3,1563,Shreyas,Iyer,Shreyas Iyer,133,132,3731,2798,97*,34.23,133.35,27,0,314,152,23,56,0,1.00,7,0,,7.00,,0/7,0,0
4,20595,Ramandeep,Singh,Ramandeep Singh,31,20,217,137,35,19.73,158.39,0,0,9,17,9,14,,6.70,63,6,10.50,9.45,6.67,3/20,0,0
5,1125,KL,Rahul,KL Rahul,145,136,5222,3839,132*,46.21,136.03,40,5,452,208,23,84,7,0.00,0,0,,,,,0,0
6,258,Sanju,Samson,Sanju Samson,177,172,4704,3383,119,30.95,139.05,26,3,379,219,20,86,17,0.00,0,0,,,,,0,0
7,1124,Jasprit,Bumrah,Jasprit Bumrah,157,33,69,80,16*,9.86,86.25,0,0,5,1,26,20,0,603.50,4346,201,21.62,7.20,18.01,5/10,4,2
8,8540,Venkatesh,Iyer,Venkatesh Iyer,62,56,1468,1069,104,29.96,137.32,12,1,136,65,7,22,0,13.50,143,3,47.67,10.59,27.00,2/29,0,0
9,2738,Nitish,Rana,Nitish Rana,129,123,3070,2220,87,27.41,138.29,22,0,288,150,11,28,0,34.00,288,10,28.80,8.47,20.40,2/11,0,0
10,5436,Prabhsimran,Singh,Prabhsimran Singh,51,51,1305,859,103,25.59,151.92,7,1,134,71,0,6,1,0.00,0,0,,,,,0,0
11,17068,Marco,Jansen,Marco Jansen,49,29,216,192,34*,14.40,112.50,0,0,11,10,14,29,0,169.30,1583,52,30.44,9.35,19.54,3/17,0,0
12,22030,Ashwani,Kumar,Ashwani Kumar,14,0,,,,,,0,0,,,0,4,,41.00,464,22,21.09,11.32,11.18,4/24,2,0
13,1112,Sandeep,Sharma,Sandeep Sharma,147,29,66,79,9,11.00,83.54,0,0,4,0,23,23,0,543.30,4431,155,28.59,8.16,21.03,5/18,2,1
14,857,Josh,Hazlewood,Josh Hazlewood,51,8,19,30,7*,,63.33,0,0,1,0,8,4,0,188.50,1582,79,20.03,8.39,14.32,4/25,3,0
15,1094,Gurnoor,Brar,Gurnoor Brar,1,0,,,,,,0,0,,,0,,,3.00,42,0,,14.00,,0/42,0,0
16,20586,Ayush,Badoni,Ayush Badoni,70,57,1292,917,74,28.09,140.89,8,0,100,52,11,22,,7.50,62,6,10.33,8.27,7.50,2/4,0,0
17,834,Quinton,de Kock,Quinton de Kock,115,115,3309,2469,140*,30.64,134.02,24,2,325,134,7,73,16,0.00,0,0,,,,,0,0
18,3774,Anukul,Roy,Anukul Roy,13,8,26,26,13*,5.20,100.00,0,0,3,0,3,7,0,30.70,245,7,35.00,7.99,26.29,2/19,0,0
